Species,CommonName,Status,Genus,species,DietGulid1,DietGuild2,Index,Behavior
MALLAR,Mallard,0,Anas,platyrhynchos,Granivore,Insectivore,Neutral,Ground Forager
CANGOO,Canada Goose,0,Branta,canadensis,Granivore,NA,Neutral,Ground Forager
CACGOO,Cackling Goose,0,Branta,hutchinsii,Granivore,NA,Neutral,Ground Forager
CALQUA,California Quail,0,Callipepla ,californica,Granivore,NA,Neutral,Ground Forager
EVEGRO,Evening Grosbeak,0,Coccothraustes ,vespertinus,Granivore,NA,Neutral,Ground Forager
PURFIN,Purple Finch,0,Haemorhous ,purpureus,Granivore,NA,Neutral,Ground Forager
DAEYJU,Dark-eyed Junco,0,Junco,hyemalis,Granivore,Insectivore,Service,Ground Forager
WILTUR,Wild Turkey,0,Meleagris,gallopavo,Granivore,NA,Neutral,Ground Forager
LAZBUN,Lazuli Bunting,1,Passerina ,amoena,Granivore,Insectivore,Neutral,Ground Forager
LESGOL,Lesser Goldfinch,0,Spinus,psaltria,Granivore,Insectivore,Neutral,Foliage Gleaner
AMEGOL,American Goldfinch,0,Spinus,tristis,Granivore,Insectivore,Neutral,Foliage Gleaner
EUCODO,Eurasian Collared-Dove,0,Streptopelia,decaocto,Granivore,NA,Neutral,Ground Forager
MOUDOV,Mourning Dove,0,Zenaida,macroura,Granivore,Insectivore,Disservice,Ground Forager
BRHECO,Brown-headed Cowbird,0,Molothrus ,ater,Granivore,NA,Neutral,Ground Forager
NORFLI,Northern Flicker,0,Calaptes,auratus,Insectivore,NA,Service,Ground Forager
ANNHUM,Anna's Hummingbird,0,Calypte,anna,Insectivore,NA,Service,Hovering
WILWAR,Wilson's Warbler,1,Cardellina ,pusilla,Insectivore,NA,Service,Foliage Gleaner
BROCRE,Brown Creeper,0,Certhia,americana,Insectivore,NA,Service,Bark Forager
WRENTI,Wrentit,0,Chamaea,fasciata,Insectivore,Granivore,Service,Foliage Gleaner
WEWOPE,Western Wood-Pewee,0,Contopus ,sordidulus,Insectivore,NA,Service,Flycatcher
DOWWOO,Downy Woodpecker,0,Dryobates,pubescens,Insectivore,NA,Service,Bark Forager
HAIWOO,Hairy Woodpecker,0,Dryobates,villosus,Insectivore,NA,Service,Bark Forager
PLIWOO,Pileated Woodpecker,1,Dryocopus,pileatus,Insectivore,NA,Service,Bark Forager
COMYEL,Common Yellowthroat,0,Geothlypis ,trichas,Insectivore,NA,Service,Foliage Gleaner
HOUFIN,House Finch,0,Haemorhous,mexicanus,Insectivore,Granivore,Service,Ground Forager
VARTHR,Varied Thrush,0,Ixoreus,naevius,Insectivore,Granivore,Service,Ground Forager
SONSPA,Song Sparrow,0,Melospiza,melodia,Insectivore,Granivore,Service,Ground Forager
BLWHWA,Black and White Warbler,1,Mniotilta,varia,Insectivore,NA,Service,Bark Forager
ORCRWA,Orange-crowned Warbler,1,Oreothlypis,celata,Insectivore,NA,Service,Foliage Gleaner
HOUSPA,House Sparrow,0,Passer,domesticus,Insectivore,Granivore,Service,Ground Forager
BLHEGR,Black-headed Grosbeak,0,Pheucticus ,melanocephalus,Insectivore,Granivore,Service,Foliage Gleaner
SPOTOW,Spotted Towhee,0,Pipilo,maculatus,Insectivore,NA,Service,Ground Forager
WESTAN,Western Tanager ,0,Piranga ,ludoviciana,Insectivore,NA,Service,Foliage Gleaner
BLCACH,Black-capped Chickadee,0,Poecile,atricapillus,Insectivore,NA,Service,Foliage Gleaner
BLGRGN,Blue-grey Gnatcatcher,1,Polioptila ,caerulea,Insectivore,NA,Service,Foliage Gleaner
