Number,Point,Week,Farm
1,10,4,Dorris
2,10,5,Dorris
3,10,8,Dorris
4,10,9,Dorris
5,10,10,Dorris
6,4,4,Wheatland
7,4,10,Dorris
8,5,5,Wheatland
9,5,8,Wheatland
10,1,4,Wheatland
11,1,8,Wheatland
12,1,10,Howell
13,2,4,Howell
14,2,4,Wheatland
15,2,5,Howell
16,2,5,Wheatland
17,2,10,Howell
18,3,4,Howell
19,3,4,Wheatland
20,3,5,Howell
21,3,5,Wheatland
22,3,8,Howell
23,3,9,Howell
24,3,9,Wheatland
25,3,10,Howell
26,3,10,Wheatland
27,4,5,Dorris
28,4,5,Wheatland
29,4,8,Dorris
30,4,8,Wheatland
31,4,9,Dorris
32,4,9,Wheatland
33,4,10,Howell
34,4,10,Wheatland
35,5,4,Dorris
36,5,5,Howell
37,5,8,Howell
38,5,10,Howell
39,8,8,Dorris
40,8,9,Dorris
41,1,4,Howell
42,1,5,Howell
43,1,5,Wheatland
44,1,8,Howell
45,1,9,Howell
46,2,8,Howell
47,2,9,Howell
48,2,10,Wheatland
49,4,4,Dorris
50,4,4,Howell
51,4,5,Howell
52,4,8,Howell
53,4,9,Howell
54,5,4,Howell
55,5,4,Wheatland
56,5,5,Dorris
57,5,9,Howell
58,5,9,Wheatland
59,5,10,Dorris
60,8,4,Dorris
61,8,5,Dorris
62,9,4,Dorris
63,9,5,Dorris
64,9,8,Dorris
65,9,9,Dorris
66,9,10,Dorris
67,11,4,Dorris
68,11,5,Dorris
69,11,10,Dorris
70,5,8,Dorris
71,5,9,Dorris
72,8,10,Dorris
73,11,8,Dorris
74,11,9,Dorris
75,1,10,Wheatland
76,2,8,Wheatland
77,2,9,Wheatland
78,3,8,Wheatland
79,5,10,Wheatland
80,1,9,Wheatland
